0	915.0	560.0	26.0	22.83	169.99	76.16	328220.46
1	877.0	370.0	45.0	18.77	173.80	69.82	403834.82
2	930.0	686.0	10.0	23.59	174.23	85.04	277897.80
3	963.0	593.0	24.0	35.16	173.94	99.48	202040.65
4	875.0	487.0	34.0	19.35	172.59	70.67	399266.00
5	923.0	668.0	19.0	26.84	169.67	83.32	298517.90
6	899.0	306.0	34.0	21.21	173.69	73.18	374601.20
7	914.0	457.0	37.0	22.21	168.73	74.18	337980.36
8	948.0	665.0	34.0	36.50	174.01	92.63	253660.86
9	892.0	477.0	12.0	24.17	172.87	78.76	387531.15
10	915.0	504.0	48.0	22.21	170.56	73.25	331997.47
11	920.0	647.0	14.0	24.52	165.98	82.17	308354.09
12	886.0	406.0	18.0	23.28	173.16	75.76	407865.89
13	950.0	576.0	40.0	34.89	173.78	89.81	228756.48
14	932.0	425.0	38.0	28.65	172.89	80.86	295155.97
15	951.0	585.0	11.0	-1.00	-1.00	-1.00	7360.23
16	887.0	512.0	35.0	18.62	172.29	70.38	385143.79
17	905.0	644.0	29.0	20.53	169.64	73.19	336842.51
18	886.0	435.0	31.0	20.10	173.33	72.03	376581.85
19	942.0	332.0	16.0	29.29	173.35	87.81	317658.70
20	917.0	690.0	21.0	24.03	174.23	78.52	309895.36
21	894.0	302.0	17.0	22.70	174.18	75.79	347626.18
22	881.0	544.0	41.0	17.26	171.72	69.33	377162.94
23	904.0	473.0	18.0	21.60	171.56	76.33	346806.78
24	897.0	650.0	27.0	19.47	157.73	72.29	342149.08
25	955.0	521.0	26.0	36.42	173.76	94.62	259721.98
26	916.0	357.0	20.0	23.62	174.10	79.35	314047.57
27	954.0	563.0	44.0	35.92	174.00	88.79	247644.40
28	918.0	431.0	17.0	23.38	173.95	80.97	300675.77
29	901.0	440.0	30.0	17.78	172.85	72.42	297782.01
30	925.0	482.0	38.0	25.85	172.52	77.39	313370.78
31	902.0	697.0	28.0	18.58	166.34	74.40	267992.95
32	933.0	460.0	39.0	28.87	173.06	82.04	263950.18
33	945.0	339.0	27.0	32.12	173.56	88.49	267152.83
34	961.0	663.0	14.0	31.70	173.28	98.93	225720.82
35	908.0	514.0	35.0	21.23	169.80	73.50	338236.10
36	879.0	621.0	25.0	18.74	173.28	70.53	388368.38
37	928.0	548.0	23.0	27.33	171.52	82.74	303888.56
38	962.0	415.0	43.0	37.75	174.05	92.52	234487.36
39	895.0	599.0	32.0	18.59	157.41	70.82	362546.06
40	891.0	445.0	36.0	19.47	172.63	71.27	386680.85
41	930.0	355.0	47.0	26.74	172.87	77.80	307755.60
42	928.0	536.0	23.0	28.36	172.22	84.68	288677.18
43	891.0	471.0	21.0	20.95	172.49	73.93	371065.95
44	888.0	683.0	34.0	18.71	156.40	70.60	368860.81
45	940.0	533.0	19.0	29.95	172.64	90.22	255109.23
46	898.0	312.0	15.0	25.20	174.19	79.30	389690.06
47	957.0	680.0	49.0	37.76	174.05	91.63	218350.59
48	878.0	614.0	41.0	17.27	153.86	68.95	388105.28
49	896.0	588.0	46.0	15.48	163.66	68.25	337767.13
50	902.0	320.0	25.0	22.07	174.00	75.18	367720.23
51	885.0	570.0	39.0	14.78	169.38	68.19	319323.51
52	938.0	604.0	16.0	29.19	174.23	87.74	292335.49
53	947.0	465.0	14.0	29.71	172.46	91.10	273018.29
54	952.0	577.0	43.0	36.35	173.91	90.28	244555.73
55	890.0	378.0	15.0	23.88	174.16	77.30	370167.27
56	880.0	530.0	11.0	24.79	172.12	79.52	409899.53
57	960.0	499.0	22.0	36.03	173.80	96.33	254333.33
58	933.0	495.0	41.0	28.14	172.85	78.80	303528.62
59	964.0	374.0	39.0	37.46	174.11	93.09	229935.46
60	905.0	452.0	32.0	20.83	171.52	73.36	352910.96
61	899.0	348.0	42.0	18.63	173.53	70.73	348212.78
62	912.0	343.0	26.0	22.66	173.64	75.87	361578.43
63	908.0	628.0	37.0	19.66	169.97	73.79	281261.06
64	895.0	490.0	42.0	18.54	169.96	70.73	373407.69
65	876.0	325.0	33.0	22.17	174.01	72.99	421393.89
66	955.0	518.0	24.0	34.37	173.82	97.51	208187.62
67	918.0	336.0	17.0	23.86	173.78	80.57	310291.86
68	922.0	655.0	36.0	23.76	172.49	74.95	308298.18
69	939.0	439.0	29.0	31.58	173.45	87.00	272588.47
70	927.0	625.0	31.0	27.37	172.73	83.61	248052.16
71	945.0	361.0	20.0	31.33	173.30	91.57	251945.28
72	949.0	345.0	16.0	30.91	173.16	91.65	274893.87
73	935.0	409.0	29.0	29.13	172.68	84.60	271066.76
74	889.0	545.0	12.0	22.39	170.59	76.68	371590.88
75	911.0	694.0	49.0	22.09	169.82	73.22	325307.89
76	882.0	382.0	12.0	26.53	174.01	81.81	378091.27
77	926.0	618.0	19.0	28.03	170.95	84.73	294671.09
78	937.0	393.0	12.0	26.18	174.09	86.74	315083.05
79	959.0	364.0	45.0	36.72	174.07	89.07	253516.93
80	936.0	583.0	32.0	30.75	172.99	84.36	284581.62
81	906.0	639.0	20.0	21.13	162.62	75.49	330670.75
82	934.0	420.0	50.0	28.21	173.25	79.18	271771.87
83	910.0	389.0	47.0	20.83	170.28	72.13	353545.30
84	943.0	453.0	46.0	31.81	173.48	82.80	282675.29
85	941.0	310.0	28.0	30.45	173.29	84.44	309828.46
86	953.0	636.0	30.0	37.07	173.91	95.94	251082.88
87	948.0	386.0	30.0	33.45	174.23	90.24	245808.21
88	944.0	611.0	48.0	31.86	173.78	82.17	281456.70
89	957.0	674.0	27.0	36.55	173.93	99.61	208264.31
90	924.0	526.0	38.0	25.23	171.49	76.87	314200.34
91	937.0	399.0	49.0	29.17	173.66	80.05	293107.10
92	921.0	507.0	23.0	24.83	169.90	79.27	324504.28
93	883.0	423.0	22.0	21.93	173.74	73.93	397816.15
94	963.0	657.0	44.0	38.10	174.02	92.57	242263.24
95	911.0	565.0	13.0	21.42	169.14	78.11	314332.44
96	958.0	552.0	45.0	37.49	174.02	90.38	251119.50
97	907.0	403.0	40.0	21.29	172.31	73.17	347403.17
98	921.0	607.0	47.0	24.23	172.45	75.58	286382.84
99	883.0	316.0	43.0	19.87	174.23	70.63	410843.16
100	875.0	300.0	10.0	31.11	174.22	91.81	428031.62
101	875.0	300.0	50.0	18.61	174.19	69.42	406709.81
102	875.0	700.0	10.0	21.84	166.19	76.60	380275.24
103	875.0	700.0	50.0	17.09	157.11	68.74	387673.59
104	965.0	300.0	10.0	26.49	172.63	89.51	290891.97
105	965.0	300.0	50.0	35.98	174.10	87.35	254822.39
106	965.0	700.0	10.0	25.87	172.70	94.48	215598.88
107	965.0	700.0	50.0	40.03	174.11	94.45	225634.23
