Pareto前沿最优解集
================================================================================
解数量: 100
变量数: 3, 目标数: 2
================================================================================

序号 | 1 | 2 | 3 | grain | load | 约束违反
  86 | 921.521 | 700 | 10.0002 | 22.454 | 290146 | 0
  87 | 936.773 | 700 | 10.003 | 25.5244 | 262257 | 0
  88 | 923.417 | 699.999 | 10.0008 | 22.7812 | 286610 | 0
  89 | 926.341 | 700 | 10.0003 | 23.3157 | 281197 | 0
  90 | 927.348 | 700 | 10.0024 | 23.5089 | 279342 | 0
  91 | 906.853 | 699.932 | 10.0002 | 20.449 | 318158 | 0
  92 | 949.879 | 700 | 10.0008 | 28.9627 | 239295 | 0
  93 | 908.935 | 700 | 10.0047 | 20.6775 | 314097 | 0
  94 | 935.89 | 699.937 | 10.0033 | 25.3193 | 263850 | 0
  95 | 936.427 | 699.999 | 10.0002 | 25.4427 | 262878 | 0
  96 | 953.354 | 699.999 | 10.0002 | 29.9986 | 233362 | 0
  97 | 926.914 | 700 | 10.0026 | 23.4253 | 280141 | 0
  98 | 926.341 | 700 | 10.0004 | 23.3157 | 281197 | 0
  99 | 900.975 | 699.999 | 10.0001 | 19.9052 | 329689 | 0
 100 | 925.499 | 699.999 | 10.0005 | 23.158 | 282752 | 0
