875.0	300.0	300.0	10.0
875.0	300.0	300.0	50.0
875.0	300.0	700.0	10.0
875.0	300.0	700.0	50.0
875.0	700.0	300.0	10.0
875.0	700.0	300.0	50.0
875.0	700.0	700.0	10.0
875.0	700.0	700.0	50.0
897.5	300.0	300.0	10.0
897.5	300.0	300.0	50.0
897.5	300.0	700.0	10.0
897.5	300.0	700.0	50.0
897.5	700.0	300.0	10.0
897.5	700.0	300.0	50.0
897.5	700.0	700.0	10.0
897.5	700.0	700.0	50.0
920.0	300.0	300.0	10.0
920.0	300.0	300.0	50.0
920.0	300.0	700.0	10.0
920.0	300.0	700.0	50.0
920.0	700.0	300.0	10.0
920.0	700.0	300.0	50.0
920.0	700.0	700.0	10.0
920.0	700.0	700.0	50.0
942.5	300.0	300.0	10.0
942.5	300.0	300.0	50.0
942.5	300.0	700.0	10.0
942.5	300.0	700.0	50.0
942.5	700.0	300.0	10.0
942.5	700.0	300.0	50.0
942.5	700.0	700.0	10.0
942.5	700.0	700.0	50.0
965.0	300.0	300.0	10.0
965.0	300.0	300.0	50.0
965.0	300.0	700.0	10.0
965.0	300.0	700.0	50.0
965.0	700.0	300.0	10.0
965.0	700.0	300.0	50.0
965.0	700.0	700.0	10.0
965.0	700.0	700.0	50.0
